task,seed,method,stage10_method_alias,train_row_count,validation_row_count,test_row_count,support_class_count,support_head_test_accuracy,selected_position_scale,selected_cue_scale,selected_distance_scale,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error
tiny_text_fact_qa,313,no_position,no_position,4,2,4,3,1.0,0.0,3.534256,0.103387,1.222464,3.395543,0.75,0.772727,0.429,0.439439,0.353266,0.757893,2.133775,1.0,1.0,0.468655,0.468655,0.531345,0.918918,2.506576,1.0,1.0,0.400991,0.400991,0.599009
phase_cued_retrieval,313,sinusoidal,sinusoidal,4,2,4,3,0.0,7.063244,2.347477,-0.589197,0.002372,1.002374,1.0,1.0,0.997631,0.997631,0.002369,7.075245,1182.332935,0.0,0.1875,0.001197,0.79224,0.79224,5.80746,332.772744,0.0,0.103259,0.003784,0.513895,0.513895
exact_offset_passkey,313,sinusoidal,sinusoidal,4,2,4,3,1.0,7.063244,2.347477,-0.589197,0.216174,1.241319,1.0,1.0,0.805775,0.805775,0.194225,0.340314,1.405388,1.0,1.0,0.752484,0.752484,0.247516,0.897824,2.454258,0.5,0.75,0.448931,0.597054,0.15118
tiny_text_fact_qa,313,sinusoidal,sinusoidal,4,2,4,3,1.0,7.063244,2.347477,-0.589197,0.061907,1.063863,1.0,1.0,0.942241,0.942241,0.057759,0.022276,1.022526,1.0,1.0,0.97797,0.97797,0.02203,0.081174,1.08456,1.0,1.0,0.923609,0.923609,0.076391
phase_cued_retrieval,313,alibi,alibi,4,2,4,3,0.0,0.448346,3.534343,0.551654,0.024784,1.025093,1.0,1.0,0.975528,0.975528,0.024472,3.899295,49.367614,0.0,0.291667,0.022018,0.594721,0.594721,4.09911,60.28659,0.0,0.079917,0.019413,0.203223,0.203223
exact_offset_passkey,313,alibi,alibi,4,2,4,3,1.0,0.448346,3.534343,0.551654,4.033054,56.433002,0.0,0.060473,0.017788,0.238722,0.238722,2.204389,9.064716,0.5,0.516667,0.47436,0.547609,0.111894,4.852253,128.028527,0.0,0.082518,0.010431,0.356348,0.356348
tiny_text_fact_qa,313,alibi,alibi,4,2,4,3,1.0,0.448346,3.534343,0.551654,1.222434,3.395444,0.75,0.772727,0.429017,0.439456,0.35325,0.757837,2.133657,1.0,1.0,0.468681,0.468681,0.531319,0.918868,2.50645,1.0,1.0,0.40101,0.40101,0.59899
phase_cued_retrieval,313,rope_relative,rope,4,2,4,3,0.0,11.915359,2.128998,0.044905,0.032831,1.033376,1.0,1.0,0.967702,0.967702,0.032298,6.391956,597.023145,0.0,0.105072,0.00172,0.694769,0.694769,6.155422,471.265813,0.0,0.055426,0.005854,0.351817,0.351817
exact_offset_passkey,313,rope_relative,rope,4,2,4,3,1.0,11.915359,2.128998,0.044905,1.437767,4.21128,0.75,0.8125,0.241797,0.247964,0.502036,0.740054,2.09605,1.0,1.0,0.60049,0.60049,0.39951,1.22996,3.421094,0.75,0.875,0.300633,0.310075,0.439925
tiny_text_fact_qa,313,rope_relative,rope,4,2,4,3,1.0,11.915359,2.128998,0.044905,0.462286,1.587699,1.0,1.0,0.673002,0.673002,0.326998,0.244531,1.277022,1.0,1.0,0.783078,0.783078,0.216922,0.256748,1.292719,1.0,1.0,0.773571,0.773571,0.226429
